GroupNum,GroupName,CameraNum,CameraName,IsScenic
1,Nose,1,CamNose,False
2,Gearbox,1,CamGearbox,False
3,Roll Bar,1,CamRoll Bar,False
4,LF Susp,1,CamLF Susp,False
5,LR Susp,1,CamLR Susp,False
6,Gyro,1,CamGyro,False
7,RF Susp,1,CamRF Susp,False
8,RR Susp,1,CamRR Susp,False
9,Cockpit,1,CamCockpit,False
10,Scenic,1,Scenic_00,True
,,2,Scenic_01,True
,,3,Scenic_03,True
,,4,Scenic_04,True
,,5,Scenic_05,True
,,6,Scenic_06,True
,,7,Scenic_10,True
,,8,Scenic_07,True
,,9,Scenic_02,True
11,TV1,1,CamTV1_01,False
,,2,CamTV1_01b,False
,,3,CamTV1_02,False
,,4,CamTV1_02b,False
,,5,CamTV1_03,False
,,6,CamTV1_03b,False
,,7,CamTV1_04,False
,,8,CamTV1_04b,False
,,9,CamTV1_06,False
,,10,CamTV1_06b,False
,,11,CamTV1_07,False
,,12,CamTV1_08b,False
,,13,CamTV1_09,False
,,14,CamTV1_10c,False
,,15,CamTV1_10,False
,,16,CamTV1_11,False
,,17,CamTV1_05b,False
,,18,CamTV1_05,False
,,19,CamTV1_07b,False
,,20,CamTV1_11b,False
12,TV2,1,CamTV2_01b,False
,,2,CamTV2_01,False
,,3,CamTV2_14,False
,,4,CamTV2_14b,False
,,5,CamTV2_13,False
,,6,CamTV2_12b,False
,,7,CamTV2_12,False
,,8,CamTV2_11,False
,,9,CamTV2_11b,False
,,10,CamTV2_10,False
,,11,CamTV2_10b,False
,,12,CamTV2_07,False
,,13,CamTV2_08b,False
,,14,CamTV2_09b,False
,,15,CamTV2_08,False
,,16,CamTV2_04,False
,,17,CamTV2_06,False
,,18,CamTV2_05b,False
,,19,CamTV2_03,False
,,20,CamTV2_02,False
,,21,CamTV2_00,False
,,22,CamTV2_00b,False
,,23,CamTV2_03b,False
,,24,CamTV2_09,False
13,TV3,1,CamTV3_00,False
,,2,CamTV3_02,False
,,3,CamTV3_02b,False
,,4,CamTV3_01,False
,,5,CamTV3_04b,False
,,6,CamTV3_03,False
,,7,CamTV3_03st,False
,,8,CamTV3_04,False
,,9,CamTV3_06,False
,,10,CamTV3_05,False
,,11,CamTV3_07,False
,,12,CamTV3_08,False
,,13,CamTV3_09,False
,,14,CamTV3_10,False
,,15,CamTV3_11,False
,,16,CamTV3_06b,False
,,17,CamTV3_12,False
,,18,CamTV3_03b,False
14,TV Static,1,CamTV4_07,False
,,2,CamTV4_08,False
,,3,CamTV4_09,False
,,4,CamTV4_11,False
,,5,CamTV4_12,False
,,6,CamTV4_13,False
,,7,CamTV4_14,False
,,8,CamTV4_01,False
,,9,CamTV4_00,False
,,10,CamTV4_15,False
,,11,CamTV4_16,False
,,12,CamTV4_02,False
,,13,CamTV4_03,False
,,14,CamTV4_05,False
,,15,CamTV4_04b,False
,,16,CamTV4_06,False
,,17,CamTV4_10,False
15,TV Mixed,1,CamTV3_01,False
,,2,CamTV1_01,False
,,3,CamTV1_01b,False
,,4,CamTV1_02,False
,,5,CamTV1_02b,False
,,6,CamTV1_03,False
,,7,CamTV1_03b,False
,,8,CamTV1_04,False
,,9,CamTV1_05,False
,,10,CamTV1_05b,False
,,11,CamTV1_06,False
,,12,CamTV1_06b,False
,,13,CamTV1_07,False
,,14,CamTV1_07b,False
,,15,CamTV1_08b,False
,,16,CamTV1_09,False
,,17,CamTV1_11,False
,,18,CamTV1_11b,False
,,19,CamTV2_00,False
,,20,CamTV2_00b,False
,,21,CamTV2_01,False
,,22,CamTV2_01b,False
,,23,CamTV2_02,False
,,24,CamTV2_03,False
,,25,CamTV2_03b,False
,,26,CamTV2_04,False
,,27,CamTV2_05b,False
,,28,CamTV2_06,False
,,29,CamTV2_07,False
,,30,CamTV2_08,False
,,31,CamTV2_08b,False
,,32,CamTV2_09,False
,,33,CamTV2_09b,False
,,34,CamTV2_10,False
,,35,CamTV2_10b,False
,,36,CamTV2_11,False
,,37,CamTV2_11b,False
,,38,CamTV2_12,False
,,39,CamTV2_12b,False
,,40,CamTV2_13,False
,,41,CamTV2_14,False
,,42,CamTV3_00,False
,,43,CamTV3_03b,False
,,44,CamTV3_04b,False
,,45,CamTV3_05,False
,,46,CamTV3_07,False
,,47,CamTV3_08,False
,,48,CamTV3_09,False
,,49,CamTV3_10,False
,,50,CamTV3_11,False
,,51,CamTV3_12,False
,,52,CamTV4_13,False
,,53,CamTV4_00,False
,,54,CamTV4_01,False
,,55,CamTV4_02,False
,,56,CamTV4_12,False
,,57,CamRoll Bar,False
,,58,CamTV3_03,False
,,59,CamTV1_04b,False
16,Pit Lane,1,CamPit Lane,False
,,2,CamPit Lane 3,False
,,3,CamPit Lane 2,False
17,Pit Lane 2,1,CamPit Lane 4,False
18,Blimp,1,CamBlimp,False
19,Chopper,1,CamChopper,False
20,Chase,1,CamChase,False
21,Far Chase,1,CamFar Chase,False
22,Rear Chase,1,CamRear Chase,False
